"","siteid","X","taxagroup","sitename","country","seaname","decimallatitude","decimallongitude","coordinateuncertaintyinmeters","startyearcollected","endyearcollected","samplingprotocol","nyear"
"1","32.836143_35.027246_6541",2,"Fish","EN_6541_0015","IL","Aegean-Levantine Sea",32.836143,35.027246,NA,1990,2012,"Shrimp trawl / Fish trawl",8
"2","36.76_-2.27_5760",3,"Fish","EN_5760_0043","ES","Western Mediterranean Sea",36.76,-2.27,1324.39,1996,2009,"Gear: bottom trawl made of four panels, referenced as GOC73, with 10 mm of mesh side in the codend and doors of type Morg̩re, with 2.5-3 m vertical opening and 16-22, horizontal opening. SCANMAR system is used in each haul to estimate its effective duration and the geometry of the net.",8
"3","37.93_-0.57_5760",4,"Fish","EN_5760_0069","ES","Western Mediterranean Sea",37.93,-0.57,1310.22,1997,2007,"Gear: bottom trawl made of four panels, referenced as GOC73, with 10 mm of mesh side in the codend and doors of type Morg̩re, with 2.5-3 m vertical opening and 16-22, horizontal opening. SCANMAR system is used in each haul to estimate its effective duration and the geometry of the net.",8
