"","taxagroup","siteid","sitename","country","seaname","decimallatitude","decimallongitude","coordinateuncertaintyinmeters","startyearcollected","endyearcollected","samplingprotocol"
"1","Fish","32.051985_34.729586_6541","EN_6541_0004","IL","Aegean-Levantine Sea",32.051985,34.729586,"NA",1990,2011,"Shrimp trawl / Fish trawl"
"2","Fish","32.836143_35.027246_6541","EN_6541_0015","IL","Aegean-Levantine Sea",32.836143,35.027246,"NA",1990,2012,"Shrimp trawl / Fish trawl"
"3","Fish","36.76_-2.27_5760","EN_5760_0043","ES","Western Mediterranean Sea",36.76,-2.27,"1324.39",1996,2009,"Gear: bottom trawl made of four panels, referenced as GOC73, with 10 mm of mesh side in the codend and doors of type Morg̩re, with 2.5-3 m vertical opening and 16-22, horizontal opening. SCANMAR system is used in each haul to estimate its effective duration and the geometry of the net."
"4","Fish","37.93_-0.57_5760","EN_5760_0069","ES","Western Mediterranean Sea",37.93,-0.57,"1310.22",1997,2007,"Gear: bottom trawl made of four panels, referenced as GOC73, with 10 mm of mesh side in the codend and doors of type Morg̩re, with 2.5-3 m vertical opening and 16-22, horizontal opening. SCANMAR system is used in each haul to estimate its effective duration and the geometry of the net."
"5","Fish","39.9_0.9_5760","EN_5760_0133","ES","Western Mediterranean Sea",39.9,0.9,"1453.18",1996,2008,"Gear: bottom trawl made of four panels, referenced as GOC73, with 10 mm of mesh side in the codend and doors of type Morg̩re, with 2.5-3 m vertical opening and 16-22, horizontal opening. SCANMAR system is used in each haul to estimate its effective duration and the geometry of the net."
